text;sentiment
kalo akun peduli lindungi pengguna kena hack tanggung ;negative
download pedulilindungi muncul berita ehac hack ngeri ;negative
besokâ aplikasi pedulilindungi mbokya anggaran gedeâ server aman mbok dibayar gede biar hack apalgi dibayar bocorin data ;positive
bayanginaplikasi peduli lindungi kena hackdata bocor ;negative
mall operated pakuwon have check using apps owned government peduli lindungi that linked with your vaccine certificate unless hack into their server quite failproof ;positive
daftar pedulilindungi pake nomor nyokap hilang pedulilindunginya gabisa login barunya udah diurusin sampe admin kemenkes chat case kayak gini nomer kesekian gitu kerjaan kesian emak ;negative
hilang cari pake peduli lindungi melindungi ;negative
udah pager antrian ditutup yakannnn keamanan disitu barcode peduli lindungi barcodenya berguna dipaksa scan macemnya sertifikat vaksin ;negative
pedululindungi terintegrasi system keamanan internasional ;negative
kecewa anggota zonk nanya sistem keamanan data peduli lindungi tanggung rancang nanya lembaga datanya bocor bssn mengurus ;positive
still cant point poinnya apkah smua petinggi vaksin tnpa masuk peduli lindungi keamanan data stelah vaksin kalo bobol which petinggi dmsukin datany citizens datanya dimasukan berusha dipihak netral ;negative
bjorka comot data peduli lindungi keamanan datanya bapuk ;negative
lempar lemparan tanggung bodoh luhut bilang keamanan peduli lindungi terjamin disimpan kominfo dasarnya ;negative
emailnya luhut pegang adcnya nomoe bilangannya nampaknya database peduli lindungi dicomot bjorkha parah keamanan dara bocor ;positive
data bpjs peduli lindungi data vaksin based datanya ktpnya system beda standar regulasi pembuatan system lembaga kedinasan minimal aritektur keamanan seragamkan ;positive
sosialisasi databasenya pedulilindungi bjorka mengakses data pribadi situ ragu keamanan datanya ;positive
data diambil peduli lindungi sbelum update data booster hebat telpn dapet smua nomor densi gokils ngeriik keamanan data pribadi jebol ;negative
poin masyarakat tolak persyaratan dikaitkan pendaftaran digital pedulilindungi warga negara pemerintah menjamin keamanan data kebocoran pemerintah wajib kompensasi ;positive
mewajibkan daftar peduli lindungi menjamin keamanan ngomong bocor gitu negara indonesia ancaman serius rakyat dijadikan sasaran beban bertubi perlindungan ;negative
nyuruh peduli lindungi faham hukum barangtentu proteksikeamanan teruji data bocor diserang salah stop being idiot ;negative
masyarakat dipaksa memakai aplikasi peduli lindungitapi pemerintah menjamin keamanan data masyarakatkan ngehek ;negative
mentri luhut penyimpanan data aplikasi pedulilindungi kementerian komunikasi informatika kominfo penanganan keamanan data dibantu badan siber sandi negara bssn ;positive
pedulilindungi rangkul keamanan prokes lintas negara dukung pengalihan subsidi ;negative
pedulilindungi rangkul keamanan prokes lintas negara tingkatkan ekonomi ;negative
tingkatkan ekonomi pedulilindungi rangkul keamanan prokes lintas negara ;negative
pedulilindungi rangkul keamanan prokes lintas negara wujudkan kemakmuran ;negative
pedulilindungi menkominfo meningkatkan keamanan data pribadi masyarakat kemkominfo ;negative
pedulilindungi rangkul keamanan prokes lintas negara jokowi stabilkan ekonomi ;negative
pedulilindungi rangkul keamanan prokes lintas negara jokowi stabilkan ekonomi ;negative
pedulilindungi rangkul keamanan prokes lintas negara ;negative
pedulilindungi error kebocoran data pribadi rame ;positive
kebocoran data card data peduli lindungi masyarakat paksaan data trus pikir kesalahan ;negative
ngetweet berdasar pengalaman pemilu kebocoran data penduduk notabene data pemilih bocor kemudahan lembaga akses database minimnya pengaman data bocor simcard pedulilindungi ratusan juta china ;positive
lempar tanggung luhut bener krna emang disimpan data center pusat data nasional kemenkes kerjasama kominfo bssn smpe skrng ehac pedulilindungi aman kebocoran ;negative
luhut pedulilindungi aman disimpan kominfo erick pedulilindungi datanya hilang plate serangan siber tugas bssn bssn kebocoran tanggung tugas warga mensejahterakan pemerintah ;positive
permasalahan dipandang remeh masyarakat kemunculan bjorka anti hero melawan pemerintah dibuka menjual data pribadi juta data kebocoran peduli lindungi ;negative
masyarakat sadar ulah hacker dibenarkan inisiatif pemerintah mengintegrasi masyarakat corona peduli lindungi ditentang lantaran khawatir kebocoran data ;negative
setuju bssn tanggung pemerintah bikin kebijakan pedulilindungi kebocoran data pilpres pemilu ;positive
luhut pedulilindungi aman disimpan kominfo erick pedulilindungi datanya hilang plate serangan siber tugas bssn bssn kebocoran tanggung ;positive
omong kosong statement erick tohir luhut pedulilindungi aman disimpan kominfo erick pedulilindungi datanya hilang plate serangan siber tugas bssn bssn kebocoran tanggung ;positive
erick family maling negara luhut pedulilindungi aman disimpan kominfo erick pedulilindungi datanya hilang plate serangan siber tugas bssn bssn kebocoran tanggung ;negative
kayanya kalo salah kebocoran data peduli lindungi beliau melemparkan kesalahan ;positive
ngga percaya udah kebocoran data ktpnik peduli lindungi simcard pemerintah responnya jelek garcep recovery website peningkatan cyber security nunggu ;negative
waka ditanganikebocoran data darurat cari pakar teknologi dihadapi kunci teknologi pedulilindungi dikasih pengawalan teknologi dikasih pengawalan teknologi teknologinya canggih ;positive
vaksin disuntik cuman kdosis diaku langsung terdaftar peduli lindungi vaksin boster hapus data vaksin butuh vaksin vaksin bantuin ;negative
data kesehatan rahasia maksud aturan pemerintah buka terbatas pedulilindungi dibuka publik identifikasi terbatas kontroversial kondisi epidemi dipertimbangkan ;positive
permissionizin akses salah contoh tampilan android ngeceknya salah aplikasi berhasil diambil alih peduli lindungi akses bikin akses data ;negative
berhasil nggak dukcapil data sesuai pedulilindungi plindungi ;negative
bill gates dukung transformasi kesehatan digital indonesia platform satusehat terintegrasi peduli lindungi memudahkan data kesehatan personal terintegrasi jokowi digitalisasi ;positive
data platform data pedulilindungi platformnya data bpjs data kelola negara ;negative
download peduli lindungi kemaren booster chat kemenkes data masukkan salahtidak valid pastikan menginputkan data terdaftar aplikasi peduli lindungi ;positive
menyibukkan mencari pembeli online offline kotak katik data orang oiya jasa vaksin permanent peduli lindungi ;negative
selamat malam data vaksinasi terintegrasi tiket menghindari kendala silakan tunjukkan sertifikat vaksin pedulilindungi bentuk fisikcetak info ketentuan link trims ;positive
digital coba peduli lindungi data disitu ;positive
peduli lindungi daftar boosterntr tinggal masukin data tinggal pilih vaksin nnti ;positive
data aplikasi peduli lindungi terintegrasi sistem ;positive
akun peduli lindungi muncul sertifnya coba akun saudaratemennya kemarin unduh sertif ortu pakai akun data jenis vaksin tanggal vaksin verifnya ;negative
gimana posisi beda vaksin disana beli vaksin trus disuntikin orang ngerubah data pedulilindungi doang ;positive
coba bapakbapak ibuibu terhormat nomor vietnam takut data jual vietnam ;negative
elisa karamoys blog bijak peduli lindungi data ;negative
membanggakan digitalisasi kekuatan infrastruktur digitalnya entri data realtime pedulilindungi langkah rangkaian perjalanannya manfaatnya dirasakan masyarakat jalani ;negative
erik thohir bilang data peduli lindungi hilang ;negative
gonna survive tomorrow super hina data pano magchecheck pedulilindungi ;negative
data tersimpan pcare tunjukin vaksin pedulilindungi nder ;negative
ngaruh bjorka sampe peduli lindungi error scan ;negative
udah aman peduli lindungi udah ;negative
aman comandos ;negative
bego vaksin masik pedulilindungi konser aman udah coba follow balesan ;positive
pantesan aplikasi peduli lindungi aksesbiar aman datanya ;negative
beraktivitas bepergian aman nyaman pastikan menghijaukan pedulilindungimu sumber ;negative
barusan ngalamin berulang untungnya sertifikat udah diunduh localan aman ngandelin kadang bikin tetiba darah ;negative
dagelan lucu trus data aman inget peduli lindungi daftar nomer ;negative
seselektif registrasi pake bocor datanya emang data pribadi peduli lindungi kebobolan data aman hakku dibatasi kalo gitu sekolah pake transportasi ;negative
data pribadi suruh jaga data peduli lindungi dijamin aman data ;positive
ehac pedulilindungi aman ;negative
coba peduli lindungi vaksin hiji langsung claim sertifikat otomatis vaksin langsung duka eror duka kumaha soalna ujug ujug vaksin aman tiket kereta nonton persib ;positive
jasa joki vaksin booster aman terdaftar peduli lindungi ;positive
tweep beredar data pribadi petinggi nkri data peduli lindungi memuat data status vaksin nyebar sumber pembocor aman kena ;negative
kalo pemerintah melindungi data rakyatnya peduli lindungi pertamina card bpjs bullshit kalo bilang aman kemkominfo kena doxing ;positive
gini banget bssn udah konferensi pers semalam semoga data peduli lindungi aman ;negative
uninstall pedulilindungi ;negative
langsung uninstall pedulilindungi apps minggu vaksin diverif masuk mall bioskop dipake ;positive
gangurus liyo gabakal uninstall pedulilindungi hahaha ;negative
uninstall peduli lindungi ;negative
pedulilindungi uninstall nctsmtowndream ;negative
uninstall pedulilindungi wkwkw ;negative
povnya uninstall peduli lindungi masuk kudu scan barcode elupa kalo uninstall donlot wkwkwkw ;negative
skrg peduli lindungi install uninstall ;positive
udah sempet uninstall pedulilindungi gara kesini mendadak instal ;negative
peduli lindungi uninstall ;negative
uninstall peduli lindungi ;negative
dream indonesia uninstall peduli lindungi udah jakarta ;positive
eksistensi pedulilindungi uninstall segan ngebiarin ;negative
ohya kesana nonton peduli lindungi wajib udah uninstall gegara memory full install jaga bsok bets ;positive
lupa uninstall pedulilindungi ateez ;negative
peduli lindungi masi kepake ngga pengen uninstall ;negative
akun peduli lindungi dibuka anjrittttt astagaa emosi instal uninstall ;negative
peduli lindungi error buka loadingnya logout update login udah uninstall reinstall tetep login gimana besok pagi jadwal flight ;positive
ahhh kagak scan masuk kantor ketahan gara ngeblank buka security disuruh suhu floor uninstall reinstall peduli lindungi login nonton dooong kendala njir ;positive
peduli lindungi udah uninstall ;negative
minggu uninstall install peduli lindungi donlod gambar sertif kalo scan pake gojek shopee ;negative
peduli lindungi crash uninstall coba install ulang kmrn ngga ngga ;positive
pedulilindungi uninstall nder nonton marv ngga disuru scan ;negative
memori full uninstall uninstall download peduli lindungi masuk mall trnyata install install uninstal pedulilindungi ;positive
kaget masuk mall menu aplikasi menghilang uninstall aplikasi peduli lindungi apps panik cari alternatif untung menu peduli lindungi ;positive
juta data peduli lindungi hilang udah uninstall aplikasi rakyat terbiasa hidup berdampingan covid ngapain pake peduli lindungi ;negative
alhamdulillahbagusnya udah uninstall aplikasinyapeduli lindungi unfaedah ;negative
culture shock semarang jebul peduli lindungi tenanan kanggo kene donggggg uninstall pdhl wkwk ;positive
install peduli lindungi kepepet butuh uninstall masi rentan logout aplikasi ketiga potensi aman serius nanya ;positive
peduli lindungi rela uninstall pubg ;negative
malu anjjjj uninstall pedulilindungi ;negative
hasil sertifikat vaksin udah terverifikasi download aplikasi trace together peduli lindungi gitudeh aplikasinya udah uninstall contohnya ;negative
uninstall tiktok download ulang peduli lindungi masuk mall taunya gabisa scan trus pulici yaudah masuk hatur nuhun masuk mall jalur kebaikan hati ;positive
uninstall pedulilindungi soalmya appnya ngecrush mulu dibuka samasekali dibuka lanfsung ;negative
ingfo syarat tiket nonton perihal buster pedulilindungi biar gamenumpuk antriannya kalo make udah dipersiapkan kali udah uninstall kalo sertifikat vaksin buster hape ;negative
peduli lindungi dipake uninstall ;positive
peduli lindungi rusak bikin error uninstall ;negative
pergi sengaja mundur langkah memberimu ruang melangkah berhenti peduli lindungi aplikasinya blom uninstall memperhatikanmu ;positive
pengen uninstall aplikasi peduli lindungi ;negative
uninstall peduli lindungi dapet kuota vaksin booster ;negative
presiden digitalisasi bill gates dukung transformasi kesehatan digital indonesia menkes mengatakn depannya pedulilindungi terintegrasi platform satusehat bersifat personal memudahkan pengguna memantau kondisi kesehatan ;positive
presiden digitalisasi bill gates dukung transformasi kesehatan digital indonesia menkes depannya pedulilindungi terintegrasi platform satusehat bersifat personal memudahkan pengguna memantau kondisi kesehatan ;positive
terdaftar pedulilindungi ;negative
menarik data dishare bjorka pejabat masuk mall pesawat booster presiden pedulilindungi ;positive
awowkwok jgnkan menteri presiden kesebar gegara aplikasi peduli lindungi dibocorkan bjorka udah lihat isinya ;positive
diumbar luaran pembantu presiden mestinya dibawa rapat kabinet dicarikan solusi dieksekusi hasilnya diberitakan publik data peduli lindungi terlindungi ;positive
selamat kemerdekaan indonesia upacara presiden megah menandakan indonesia merdeka jajahan pemaksaan apapun vaksin pedulilindungi bpjs koruptor kjahatan megah skali upacaranya ;positive
kalo away bandung booster vaksin booster vaksin piala presiden kemaren venue solo gapernah nanya vaksin bertiket liga sleman gapernah nanya vaksin pedulilindungi bertiket ;positive
benci kagak sibuk gegara ;negative
meeting kerja meetang meeting mulu data bocor data informasi peduli lindungi presiden bocor prestasi kominfo performa instansi negri bobrok monopoli bisnis ;negative
beli tiket piala presiden ngecek peduli lindungi sertifikat vaksin vaksin boster acan ;positive
pemerintahan negeri polandia kebocoran data data bpjs pedulilindungi warga poland bocor data presiden polandia sempet bocor percaya indonesia otorisasi data bbrp perusahaan ;positive
data takut bocor telor data peduli lindungi bocor sampe data presiden konyol ;negative
piala presiden bulu tangkis pbsi gratiskan tiket nonton baca berita media indonesia ;positive
semoga pilih presiden pake aplikasi peduli lindungi ;negative
emang mendag presiden tempo omong harga migor turun minggu sampe skrg bertengger turun migor curah embel peduli lindungi sgla kwalits migor curah ngegumpal dismpn ;negative
vaksin lengkap coba tunjukan aplikasi peduli lindungi masuk istana presiden ;positive
aneh negara beli musti pake aplikasi mypertamina beli minyak goreng pake aplikasi peduli lindungi manfaat pemilu pemilihan presiden pake kardus digembok gede anggarannya ;negative
pagi presiden aplikasi memudahkan pelayanan masyarakat kecuali aplikasi mypertamina pedulilindungi bikin aplikasi memantau gerakgerik belanja pasar tradisional ;negative
presiden menteri pakai aplikasi peduli lindungi peduli kondisi rakyat melindungi kepentingan rakyat ;positive
putin memperlakukan berbeda pertemuan presiden perancis presiden presiden perancis menolak test covid menolak menyerahkan handphonenya jokowi bersedia colok tujuannya mulia beliau menunjukan handphonenya berisi aplikasi peduli lindungi ;negative
presiden pejabat merakyat kastanya ditinggikan hahaha yaudah daftar pedulilindungi beli minyak goreng harganya lupa main selang spbu ;negative
pedulilindungi hilang gojek simak checkin viaâ browser ;negative
pedulilindungi hilang gojek simak checkin browser ;negative
pedulilindungi hilang gojek indikasi status pandemi dicabut ;negative
fitur pedulilindungi hilang aplikasi grab gojek ;negative
kemenkes buka suara pedulilindungi hilang aplikasi gojek shopee ;negative
pedulilindungi hilang aplikasi gojek shopee kemenkes buka suara ;negative
carats kemaren totebagnya disuruh titip scan pedulilindungi ngga security diambil malemnya hilang ngga kabarnya ketemu beneran dibuang ;negative
kawans sertifikat vaksin boosternya mendadak hilang aplikasi peduli lindungi aplikasinya responsif update mohon ;negative
halo pagi sertifikat vaksin hilang aplikasi peduli lindungi logout gagal login ;positive
peduli lindungi gajelas sertifikat vaksin hilang ngurus aplikasi error gajelas kemenkesri ;positive
peduli lindungi update suntik pagi sorenyabesoknya sertifikat sekelasnya pejabat karpet merah urusan pelayanan bocoran vaksin sampe dosis jwbn covid hilang ;positive
menteri bumn erick thohir menyinggung jutaan data base aplikasi pedulilindungi hilang pedulilindungi menyimpan juta data base penduduk ;positive
hahaha udah chehk beli datanya cuman bilang datanya peduli lindungi valid kominfo jebol yakali data hilang intinya cuman pansos negara cepet ;positive
dibilang jutaan data base peduli lindungi hilang ;negative
juta data peduli lindungi hilang hilang ;negative
kayanya bjorka data peduli lindungi hilang ;negative
kasih asing data peduli lindungi ambil data rakyat bilang hilang ;negative
erick thohir juta database pedulilindungi hilang said didu dirugikan rakyat tanggung ;negative
terungkap erick thohir juta data pedulilindungi hilang covid reda ;positive
luhut pandjaitan jamin data pedulilindungi aman erick thohir datanya hilang ;positive
biadab semuatdk tanggung erick thohir juta database pedulilindungi hilang said didu dirugikan rakyat tanggung ;negative
rezim jutaan data base aplikasi biadab pedulilindungi hilang tanggung hentikan omong kosong vaksin pedulilindungi ;negative
heboh juta database pedulilindungi hilang news ;positive
peduli lindungi proxy mencuri data kependudukan data bocorhilang memaksakan penggunaannya pemerintah bertanggung ;negative
chief digital transformation office kemenkes setiaji data masyarakat aplikasi pedulilindungi hilang bocor ;negative
kemenkes data pedulilindungi hilang pengguna hariannya berkurang ;positive
mengkonsolidasi contoh peduli lindungi pakai juta covid hilang hilang data erick thohir diartikan kalo covid hilang data kepake ;negative
erick thohir data pedulilindungi hilang covid turun ;negative
peduli lindungi pakai juta covid hilang hilang data erick thohir ;negative
aplikasi pedulilindungi beli minyak goreng hilang gejolak minyak goreng selesai aplikasi hidup orang miskin ribet ;negative
netizen nepsong baca dipikir komentar maksudnya data pedulilindungi dimanfaatkan covid hilang data tersisasia manfaatnya perekonomian ;positive
ironis aplikasi namanya pedulilindungi database penggunanya hilang pengelola peduli melindungi ;negative
luhut tanggung database peduli lindungi rakyat hilangga cari kambing hitamkerja becusmundur ;negative
juta database pedulilindungi hilang erick thohir ;negative
data ektp bocor data ecommerce bocor data card bocor data pedulilindungi hilang digital diperkoas semoga data skck aman jokowi ;positive
hilang proyek erick thohir juta database pedulilindungi hilang ;negative
have privacy diwujudkan indonesia ;positive
dipermasalahkan dimana kominfo data data privacy mending wadahnya bagus berdasarkan pengalaman data ektp peduli lindungi bocor ;positive
apple apple whataboutism peduli lindungi obrolan privacy hidup mati orang kominfo pegang data orang mati ;negative
daftarin steam melanggar privacy policy pertahankan data privacy bocor kali bpjs pedulilindungi ;negative
perlindungan data pribadi said they have their privacy policy bertahan bertahuntahun berlaku internasionalãƒâ bocor banyakan pemerintahan bpjs pedulilindungi sehat ;positive
dude they feds want internet positif because they want keep privacy safe even peduli lindungi just blocking something need just unblock apps they blocked especially reddit steam awas kena ;negative
someone travels places during pandemic annoyed every time need scan another pedulilindungi already breaching location privacy these people placing vagueness over right accessing internet this shit ;negative
sisi data privacy penggunaan pedulilindungi subsidi udah salah aplikasi tracking covid legitimasi subsidi ;negative
hahahah monmaap nihh pemerintah sono bilang pedulilindungi melanggar privacy wkwkwkwk goblog ;negative
pedulilindungi berubah fungsi pemantauan kejar target vaksinasi dagangan vaksin luhut belom habis urusan migor lahan bisnis cuan luhut terbarukan hatihati aplikasi pedulilindungi data privacy dicuri kepentingan pilpres ;positive
pliss baca kebijakan privacy pedulilindungi hubungannya migor pedulilindungi ;positive
